Entity,Code,Year,Forest area,Precipitation (mm)
Malaysia,MYS,1990,20618500.0,2406.34
Malaysia,MYS,1991,20525785.0,2650.01
Malaysia,MYS,1992,20433070.0,2442.61
Malaysia,MYS,1993,20340355.0,2800.13
Malaysia,MYS,1994,20247640.0,2956.59
Malaysia,MYS,1995,20154925.0,3190.95
Malaysia,MYS,1996,20062210.0,3170.28
Malaysia,MYS,1997,19969495.0,2500.5
Malaysia,MYS,1998,19876780.0,2640.38
Malaysia,MYS,1999,19784065.0,3401.36
Malaysia,MYS,2000,19691350.0,3259.31
Malaysia,MYS,2001,19616980.0,2964.25
Malaysia,MYS,2002,19542610.0,2618.22
Malaysia,MYS,2003,19468240.0,3104.61
Malaysia,MYS,2004,19393870.0,2781.46
Malaysia,MYS,2005,19319500.0,2778.28
Malaysia,MYS,2006,19245130.0,3111.03
Malaysia,MYS,2007,19170760.0,3240.98
Malaysia,MYS,2008,19096390.0,3568.85
Malaysia,MYS,2009,19022020.0,3398.91
Malaysia,MYS,2010,18947650.0,3093.6
Malaysia,MYS,2011,19050964.0,3430.31
Malaysia,MYS,2012,19154278.000000004,3208.26
Malaysia,MYS,2013,19257592.0,3082.36
Malaysia,MYS,2014,19360906.000000004,2799.98
Malaysia,MYS,2015,19464220.0,2653.89
Malaysia,MYS,2016,19394184.0,2822.66
Malaysia,MYS,2017,19324148.0,3253.44
Malaysia,MYS,2018,19254112.0,3232.62
Malaysia,MYS,2019,19184076.0,2587.58
Malaysia,MYS,2020,19114040.0,3041.17
