Year,Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
1901,30.02,25.76,21.55
1902,30.02,25.76,21.55
1903,29.97,25.71,21.5
1904,29.9,25.64,21.42
1905,30.0,25.73,21.52
1906,29.93,25.75,21.63
1907,29.75,25.67,21.64
1908,29.92,25.69,21.52
1909,29.8,25.7,21.65
1910,29.85,25.69,21.58
1911,30.16,25.95,21.8
1912,30.17,26.02,21.91
1913,30.16,25.95,21.79
1914,30.35,26.09,21.88
1915,30.28,26.07,21.9
1916,30.14,25.87,21.66
1917,30.0,25.74,21.54
1918,29.9,25.65,21.46
1919,30.22,26.04,21.92
1920,30.08,25.96,21.9
1921,29.93,25.84,21.8
1922,29.98,25.88,21.84
1923,29.91,25.83,21.79
1924,29.88,25.84,21.86
1925,29.99,25.8,21.67
1926,30.22,25.96,21.76
1927,30.12,25.88,21.69
1928,30.16,25.89,21.67
1929,30.01,25.76,21.56
1930,30.27,25.96,21.7
1931,30.29,26.06,21.88
1932,29.99,25.79,21.63
1933,30.01,25.83,21.7
1934,29.88,25.72,21.61
1935,30.14,25.93,21.78
1936,30.05,25.92,21.84
1937,30.1,25.95,21.85
1938,29.94,25.87,21.85
1939,29.96,25.83,21.75
1940,30.19,26.01,21.87
1941,30.67,26.48,22.34
1942,30.01,25.77,21.57
1943,30.09,25.74,21.44
1944,30.07,25.76,21.51
1945,30.04,25.77,21.54
1946,30.03,25.8,21.61
1947,30.07,25.86,21.7
1948,30.22,25.95,21.72
1949,30.16,25.91,21.71
1950,30.23,25.97,21.76
1951,30.14,25.9,21.71
1952,30.04,25.86,21.74
1953,30.28,25.95,21.66
1954,30.09,25.77,21.5
1955,30.01,25.66,21.36
1956,29.75,25.51,21.31
1957,30.19,25.91,21.69
1958,30.36,26.07,21.83
1959,30.03,25.83,21.68
1960,30.12,25.89,21.72
1961,29.87,25.6,21.39
1962,29.62,25.5,21.44
1963,29.68,25.56,21.49
1964,29.76,25.58,21.44
1965,29.72,25.45,21.22
1966,29.99,25.74,21.53
1967,29.74,25.47,21.25
1968,29.9,25.51,21.18
1969,30.02,25.76,21.54
1970,29.89,25.67,21.51
1971,29.83,25.54,21.3
1972,30.35,25.92,21.53
1973,30.24,26.0,21.82
1974,29.88,25.6,21.38
1975,29.88,25.61,21.38
1976,29.76,25.42,21.13
1977,29.91,25.68,21.49
1978,30.12,25.8,21.53
1979,30.24,25.89,21.59
1980,30.19,25.84,21.55
1981,30.32,25.96,21.66
1982,30.34,25.98,21.66
1983,30.58,26.29,22.05
1984,29.74,25.6,21.5
1985,30.09,25.79,21.54
1986,30.1,25.86,21.67
1987,30.41,26.22,22.08
1988,30.13,26.07,22.05
1989,30.09,25.86,21.69
1990,30.48,26.22,22.01
1991,30.36,26.22,22.14
1992,30.38,26.13,21.94
1993,30.23,26.06,21.94
1994,30.29,26.14,22.04
1995,30.2,26.19,22.22
1996,30.14,26.1,22.1
1997,30.55,26.42,22.34
1998,30.83,26.78,22.78
1999,30.19,26.16,22.18
2000,30.39,26.3,22.26
2001,30.5,26.39,22.34
2002,30.78,26.57,22.41
2003,30.48,26.38,22.34
2004,30.46,26.32,22.23
2005,30.51,26.37,22.27
2006,30.37,26.27,22.23
2007,30.21,26.21,22.25
2008,30.02,26.02,22.07
2009,30.41,26.31,22.26
2010,30.54,26.46,22.42
2011,30.26,26.23,22.25
2012,30.55,26.41,22.32
2013,30.6,26.51,22.47
2014,30.59,26.42,22.3
2015,30.8,26.66,22.57
2016,31.0,26.93,22.91
2017,31.11,26.5,21.94
2018,31.73,26.54,21.4
2019,32.04,26.82,21.66
2020,32.03,26.7,21.42
2021,31.81,26.48,21.2
2022,31.38,26.35,21.36
2023,30.88,26.78,22.73
2024,31.02,27.06,23.15
